Date,LogPI_A,LogPriceIndex_A,LogPriceIndex_B,Display_A,Display_B
20000102,0.022245609,0,-0.127213024,0,0
20000103,0.181521877,0,-0.127213024,0,0
20000104,-1.344690811,0,-0.127213024,0,0
20000105,-0.481190819,0,-0.127213024,0,0
20000106,0.203340924,0,-0.127213024,0,0
20000107,-0.012916225,0,-0.127213024,0,0
20000108,-0.548410384,0,-0.127213024,0,0
20000109,-0.279649901,0,-0.127213024,0,0
20000110,0.4271996,0,-0.127213024,0,0
20000111,0.346441768,0,-0.127213024,0,0
20000113,-1.197250259,0,-0.127213024,0,0
20000114,0.758066727,0,-0.127213024,0,0
20000115,-0.333372198,0,-0.127213024,0,0
20000116,-1.402905627,0,-0.127213024,0,0
20000117,0.03493657,0,-0.127213024,0,0
20000118,0.59602047,0,-0.127213024,0,0
20000120,1.263124153,-0.096014653,0,0,0
20000121,1.659416282,-0.096014653,0,0,0
20000122,1.294627173,-0.096014653,-0.245779014,0,1
20000123,1.426190858,-0.110110083,-0.22174831,0,1
20000124,1.05204682,-0.096014653,-0.006276768,0,1
20000125,1.522648782,-0.096014653,0,0,0
20000126,2.406639273,-0.096014653,0,1,0
20000127,2.123354729,-0.096014653,0,1,0
20000128,1.503149256,-0.096014653,0,1,0
20000129,3.0461163,-0.33728982,0,1,0
20000130,2.096288541,-0.096014653,0,1,0
20000131,0.639606414,-0.096014653,0,1,0
20000201,1.792159549,-0.096014653,0,1,0
20000202,1.874778825,-0.096014653,0,1,0
20000203,0.729218572,-0.096014653,0,0,0
20000204,1.658759468,-0.096014653,0,1,0
20000205,0.829858226,-0.096014653,-0.274191259,1,1
20000206,2.09835091,-0.113369909,-0.02593058,1,0
20000207,1.505077897,-0.096014653,0,0,0
20000208,1.376212026,-0.096014653,0,1,0
20000210,1.840567815,-0.096014653,0,1,0
20000211,1.513118141,-0.101629006,0,0,0
20000212,0.902881045,-0.096014653,0,0,0
20000213,1.837221843,-0.096014653,0,0,0
20000214,1.249725918,-0.096014653,0,0,0
20000215,1.142082016,-0.096014653,0,0,0
20000217,0.767601366,0,-0.166743863,0,0
20000218,-1.129464752,0,-0.166743863,0,0
20000219,-0.314324003,0,-0.398410446,0,1
20000220,0.746284279,0,-0.166743863,0,1
20000221,-0.062348625,0,-0.166743863,0,1
