１個だけイエロー,Variety,１,個,イエロー,,,,,,,,,,,
１周回って知らない話,Variety,１,周回,知ら,話,,,,,,,,,,
３分クッキング,Cooking,３分クッキング,,,,,,,,,,,,,
７つの海を楽しもう！世界さまぁ～リゾート,Variety,７,つ,海,楽しも,世界,さ,まぁ,リゾート,,,,,,
Ａ－Ｓｔｕｄｉｏ,Variety,Ａ－Ｓｔｕｄｉｏ,,,,,,,,,,,,,
Ｍ－１グランプリ,Variety,M-1,,グランプリ,,,,,,,,,,,
Ｃａｔｃｈ！！,Informative,Ｃａｔｃｈ,,,,,,,,,,,,,
ＥＡＲＴＨ Ｌａｂ,Informative,ＥＡＲＴＨ,Ｌａｂ,,,,,,,,,,,,
ＦＮＮ,News,ＦＮＮ,,,,,,,,,,,,,
ＩＰＰＯＮスカウト,Variety,ＩＰＰＯＮ,スカウト,,,,,,,,,,,,
ＩＴパンプ,Informative,ＩＴ,パンプ,,,,,,,,,,,,
ＫｉｎＫｉ Ｋｉｄｓのブンブブーン,Variety,ＫｉｎＫｉ,Ｋｉｄｓ,ブンブブーン,,,,,,,,,,,
ＭＯＮＯモノ倶楽部,Informative,ＭＯＮＯ,モノ,倶楽部,,,,,,,,,,,
Ｍｒ．サンデー,Informative,Ｍｒ．,サンデー,,,,,,,,,,,,
Ｍプラス１１,News,Ｍ,プラス,１１,,,,,,,,,,,
ｎｅｗｓ ｅｖｅｒｙ．,News,ｎｅｗｓ,ｅｖｅｒｙ,,,,,,,,,,,,
Ｎスタ,Informative,Ｎ,スタ,,,,,,,,,,,,
ＰＯＮ！,Informative,ＰＯＮ,,,,,,,,,,,,,
Ｓ・１,Sports,Ｓ,１,,,,,,,,,,,,
ＳＭＡＰ×ＳＭＡＰ,Variety,ＳＭＡＰ×ＳＭＡＰ,,,,,,,,,,,,,
ＳｍａＳＴＡＴＩＯＮ！,Informative,ＳｍａＳＴＡＴＩＯＮ,,,,,,,,,,,,,
ＴＨＥ ＭＡＮＺＡＩ,Variety,ＴＨＥ,ＭＡＮＺＡＩ,,,,,,,,,,,,
ＶＳ嵐,Variety,ＶＳ,嵐,,,,,,,,,,,,
ＺＥＲＯ ＭＩＮＵＴＥ,News,ＺＥＲＯ,ＭＩＮＵＴＥ,,,,,,,,,,,,
ＺＩＰ！,News,ＺＩＰ,,,,,,,,,,,,,
アイ・アム・冒険少年,Variety,アイ,アム,冒険,少年,,,,,,,,,,
あいつ今何してる？,Variety,あいつ,今,何,し,,,,,,,,,,
あさチャン！,News,あさ,チャン,,,,,,,,,,,,
あさパラ！,Informative,あさパラ,,,,,,,,,,,,,
あすのデルサタ＆天気,Informative,あす,デル,サタ,天気,,,,,,,,,,
あすのドデスカ！＆天気,Informative,あす,ドデスカ,天気,,,,,,,,,,,
アッコにおまかせ！,Variety,アッコ,おまかせ,,,,,,,,,,,,
あのNewsで得する人損する人,Variety,あの,News,得する,人,損する,人,,,,,,,,
アフォリズムの翼,Informative,アフォリズム,翼,,,,,,,,,,,,
イッポウ,Informative,イッポウ,,,,,,,,,,,,,
ウタフクヤマ,Music,ウタ,フクヤマ,,,,,,,,,,,,
ウチくる！？,Variety,ウチ,くる,,,,,,,,,,,,
うまい！の極み,Variety,うまい,極み,,,,,,,,,,,,
うわっ！ダマされた大賞,Variety,う,わっ,ダマ,さ,大賞,,,,,,,,,
エビ推シ～,Informative,エビ,推,シ,,,,,,,,,,,
おじゃＭＡＰ！！,Variety,おじゃ,ＭＡＰ,,,,,,,,,,,,
おしゃれイズム,Variety,おしゃれイズム,,,,,,,,,,,,,
オトナ養成所バナナスクール,Variety,オトナ,養成所,バナナスクール,,,,,,,,,,,
おはよう朝日です,News,おはよう,朝日,,,,,,,,,,,,
おひるのワイド１２０,Drama,おひる,ワイド,１２０,,,,,,,,,,,
ガイド,Informative,ガイド,,,,,,,,,,,,,
かんさい情報ネットｔｅｎ,Informative,かんさい,情報,ネット,ｔｅｎ,,,,,,,,,,
キスマイレージ,Variety,キス,マイレージ,,,,,,,,,,,,
キャスト,News,キャスト,,,,,,,,,,,,,
キャッチ！,Informative,キャッチ,,,,,,,,,,,,,
キャリア・掟破りの警察署長,Drama,キャリア,掟,破り,警察,署長,,,,,,,,,
クイズプレゼンVarietyＱさま！３時間ＳＰ,Variety,クイズ,プレゼン,VarietyＱ,さま,３,時間,ＳＰ,,,,,,,
グッド！モーニング,Informative,グッド,モーニング,,,,,,,,,,,,
クレイジージャーニー,Variety,クレイジージャーニー,,,,,,,,,,,,,
クレヨンしんちゃん,Anime,クレヨンしんちゃん,,,,,,,,,,,,,
ゴゴスマ・ＧＯＧＯ！Ｓｍｉｌｅ！,Informative,ゴゴスマ,ＧＯＧＯ,Ｓｍｉｌｅ,,,,,,,,,,,
この差って何ですか？ＳＰ,Variety,この,差,何,ＳＰ,,,,,,,,,,
ザ！鉄腕！ＤＡＳＨ！,Variety,ザ,鉄腕,ＤＡＳＨ,,,,,,,,,,,
さまぁ～ずの神ギ問,Variety,さまぁ～ず,神,ギ,問,,,,,,,,,,
しくじり先生,Variety,しくじり,先生,,,,,,,,,,,,
しゃべくり００７,Variety,しゃべくり,００７,,,,,,,,,,,,
シューイチ,Informative,シューイチ,,,,,,,,,,,,,
ジョブチューン,Variety,ジョブチューン,,,,,,,,,,,,,
スイッチ！,Informative,スイッチ,,,,,,,,,,,,,
スーパーＪチャンネル,News,スーパー,Ｊ,チャンネル,,,,,,,,,,,
スッキリ！！,Informative,スッキリ,,,,,,,,,,,,,
スペシャルサタデー,Variety,スペシャル,サタデー,,,,,,,,,,,,
せやねん！,Informative,せやねん！,,,,,,,,,,,,,
そこまで言って委員会,Variety,そこ,言っ,委員会,,,,,,,,,,,
それいけ！アンパンマン,Anime,それいけ！アンパンマン,,,,,,,,,,,,,
タイムボカン２４,Anime,タイムボカン,２４,,,,,,,,,,,,
タモリ倶楽部,Variety,タモリ,倶楽部,,,,,,,,,,,,
ちちんぷいぷい,Informative,ちちんぷいぷい,,,,,,,,,,,,,
チマタの噺,Variety,チマタ,噺,,,,,,,,,,,,
ちゃちゃ入れマンデー,Variety,ちゃちゃ,入れ,マンデー,,,,,,,,,,,
トーキングフルーツ,Variety,トーキング,フルーツ,,,,,,,,,,,,
とくダネ！,Informative,とくダネ,,,,,,,,,,,,,
ドデスカ！,Informative,ドデスカ,,,,,,,,,,,,,
トワイライト・Anime,Anime,トワイライト,Anime,,,,,,,,,,,,
ナイトｉｎナイト,Variety,ナイト,ｉｎ,ナイト,,,,,,,,,,,
ナカイの窓,Variety,ナカイ,窓,,,,,,,,,,,,
なるほどプレゼンター！花咲かタイムズ,Variety,なるほど,プレゼンター,花咲,タイムズ,,,,,,,,,,
ネプリーグ,Variety,ネプリーグ,,,,,,,,,,,,,
ノンストップ！,Informative,ノンストップ,,,,,,,,,,,,,
バイキング,Informative,バイキング,,,,,,,,,,,,,
ぴたっ。ＣＢＣ,Informative,ぴたっ,ＣＢＣ,,,,,,,,,,,,
ひるおび,Informative,ひるおび,,,,,,,,,,,,,
ヒルナンデス,Informative,ヒルナンデス,,,,,,,,,,,,,
ぶらぶらサタデー,Variety,ぶらぶら,サタデー,,,,,,,,,,,,
まもなく秘密のケンミンＳＨＯＷ,Variety,まもなく,秘密,ケンミン,ＳＨＯＷ,,,,,,,,,,
まんなかチュウキョ～！,Informative,まんなか,チュウキョ,,,,,,,,,,,,
ミニガイド／空色のおくりもの,Informative,ミニ,ガイド,空色,おくりもの,,,,,,,,,,
ミライ・モンスター,Sports,ミライ,モンスター,,,,,,,,,,,,
みんなのDrama,Drama,みんな,Drama,,,,,,,,,,,,
みんなのNews,Informative,みんな,News,,,,,,,,,,,,
メ～テレNews,News,メ,テレ,News,,,,,,,,,,,
めざましテレビ,News,めざましテレビ,,,,,,,,,,,,,
めちゃ×２イケてるッ！,Variety,めちゃ,２,イケてる,ッ,,,,,,,,,,
メッセンジャーの○○は大丈夫なのか？,Variety,メッセンジャー,大丈夫,,,,,,,,,,,,
メディアミックスα,Variety,メディア,ミックス,,,,,,,,,,,,
もっと！地元応援団,Informative,もっと,地元,応援,団,,,,,,,,,,
やべっちＦＣ,Sports,やべっち,ＦＣ,,,,,,,,,,,,
ユアタイム,News,ユア,タイム,,,,,,,,,,,,
よ～いドン！,Informative,い,ドン,,,,,,,,,,,,
よしもと新喜劇,Variety,よしもと,新喜劇,,,,,,,,,,,,
ヨルパチーノ,Variety,ヨル,パチーノ,,,,,,,,,,,,
レディ・ダ・ヴィンチの診断,Drama,レディ,ダ,ヴィンチ,診断,,,,,,,,,,
レンタル救世主,Drama,レンタル,救世主,,,,,,,,,,,,
ワールドビジネスサテライト,News,ワールドビジネスサテライト,,,,,,,,,,,,,
ワイド！スクランブル,Informative,ワイド,スクランブル,,,,,,,,,,,,
ワンピース,Anime,ワンピース,,,,,,,,,,,,,
羽鳥慎一モーニングショー,Informative,羽鳥,慎一,モーニング,ショー,,,,,,,,,,
雨上がり決死隊のトーク番組アメトーーク！,Variety,雨上がり,決死,隊,トーク,番組,アメトーーク,,,,,,,,
科捜研の女,Drama,科捜研,女,,,,,,,,,,,,
火曜Drama,Drama,火曜,Drama,,,,,,,,,,,,
快傑えみちゃんねる,Variety,快傑,えみちゃんねる,,,,,,,,,,,,
街活ＡＢＣ,Informative,街,活,ＡＢＣ,,,,,,,,,,,
