"CM視聴率 CMリスト"
"企業名:","ホンダ/本田技研工業"
"商品名:","指定なし"
"CM秒数:","全CM"
"番組名:","指定なし"
"検索期間:","2016年4月1日(金) 05:00～2017年3月31日(金) 28:59"
"レポート作成日時:","2017年5月30日（火）14:03"
"放送:","地デジ 5放送"
"サンプル:","関東エリア","個人 5311","FC 295","FT 209","F1 481","F2 783","F3- 552","F3+ 306","MC 267","MT 210","M1 495","M2 823","M3- 586","M3+ 304","世帯 2045","","※期間内最新サンプル数"
""
"CM視聴率(開始時)"
"日付","曜日","開始時刻","秒数","企業","商品","個人全体","FC","FT","F1","F2","F3-","F3+","MC","MT","M1","M2","M3-","M3+","世帯","放送局","番組"
"2017/3/31","金","23:22:07","15","ホンダ/本田技研工業","フィット","2.4","0.3","0.5","1.2","2.9","3.3","2.9","0.7","0.5","1.4","2.8","2.9","5.9","4.3","TX","ワールドビジネスサテライト"
"2017/3/31","金","23:21:52","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","2.4","0.3","0.5","1.2","3.1","3.3","2.9","0.7","0.5","1.4","2.9","2.9","5.9","4.4","TX","ワールドビジネスサテライト"
"2017/3/31","金","23:04:27","15","ホンダ/本田技研工業","フィット","4.7","0.0","2.4","3.1","4.1","8.3","7.8","0.7","2.4","3.0","5.3","6.8","7.6","8.9","EX","報道ステーション"
"2017/3/31","金","23:04:12","15","ホンダ/本田技研工業","フリード","5.0","0.0","2.4","3.1","4.5","8.9","7.8","0.7","2.4","3.2","5.8","7.5","8.2","9.5","EX","報道ステーション"
"2017/3/31","金","19:59:35","30","ホンダ/本田技研工業","フリード","2.9","0.3","1.0","2.3","2.6","4.3","4.2","1.9","1.9","2.2","2.2","4.1","6.9","5.3","NTV","次の瞬間、熱くなれ。ＴＨＥＢＡＳＥＢＡＬＬ２０１７"
"2017/3/31","金","06:43:52","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","3.3","1.4","1.0","2.9","5.6","3.4","1.6","2.6","1.0","2.0","5.0","3.9","1.6","6.3","NTV","ＺＩＰ！"
"2017/3/31","金","06:43:37","15","ホンダ/本田技研工業","フィット","3.3","1.4","1.0","2.9","5.6","3.4","1.6","2.6","1.0","2.0","5.0","4.1","1.6","6.3","NTV","ＺＩＰ！"
"2017/3/31","金","06:09:31","30","ホンダ/本田技研工業","企業","0.8","0.0","1.0","0.2","0.9","0.9","1.6","0.4","0.0","0.4","1.0","2.0","0.3","1.7","TBS","あさチャン！"
"2017/3/30","木","23:47:46","30","ホンダ/本田技研工業","フリード","2.0","0.0","0.5","1.0","2.2","2.9","2.9","0.7","0.0","0.6","2.6","3.2","3.6","3.8","TBS","ＮＥＷＳ２３"
"2017/3/30","木","23:36:24","30","ホンダ/本田技研工業","フリード","3.0","0.7","2.9","1.9","3.8","4.0","3.3","1.1","1.0","2.4","3.9","4.4","2.3","5.2","NTV","ＮＥＷＳＺＥＲＯ"
"2017/3/30","木","23:23:08","30","ホンダ/本田技研工業","NSX","1.6","0.3","0.5","1.0","1.4","2.9","2.0","0.0","0.0","1.4","2.2","1.9","3.0","3.2","TX","ワールドビジネスサテライト"
"2017/3/30","木","22:45:12","15","ホンダ/本田技研工業","フリード","1.6","0.3","1.0","1.0","0.9","3.6","2.9","0.0","1.0","0.8","1.5","2.4","3.3","3.2","TX","カンブリア宮殿"
"2017/3/30","木","22:44:57","15","ホンダ/本田技研工業","フィット","1.6","0.3","1.0","1.0","0.8","3.6","2.9","0.0","1.0","0.8","1.5","2.6","3.3","3.2","TX","カンブリア宮殿"
"2017/3/30","木","21:42:13","15","ホンダ/本田技研工業","フィット","4.8","3.1","5.7","2.1","4.9","7.8","9.5","3.4","1.4","2.4","3.3","5.5","9.9","7.9","EX","ザ・タイムショック新クイズ王決定戦スペシャル"
"2017/3/30","木","21:41:58","15","ホンダ/本田技研工業","フリード","4.6","2.7","5.3","2.1","4.7","7.8","9.2","3.4","1.4","2.4","3.0","4.9","9.5","7.6","EX","ザ・タイムショック新クイズ王決定戦スペシャル"
"2017/3/30","木","20:52:48","30","ホンダ/本田技研工業","企業","5.0","4.7","4.3","5.0","6.8","6.0","5.6","2.6","1.0","3.4","5.2","5.1","5.9","8.3","NTV","ぐるナイ春の熱血ゴチ２時間スペシャル"
"2017/3/30","木","20:10:52","15","ホンダ/本田技研工業","フリード","3.5","3.1","3.3","2.3","5.0","5.3","5.2","1.1","2.4","2.0","2.2","4.4","3.9","6.0","TBS","ＣＤＴＶ春スペシャル卒業ソング音楽祭２０１７"
"2017/3/30","木","20:10:37","15","ホンダ/本田技研工業","フィット","3.4","3.1","3.3","2.3","4.9","5.1","5.2","1.5","2.4","2.0","2.3","4.3","3.6","5.9","TBS","ＣＤＴＶ春スペシャル卒業ソング音楽祭２０１７"
"2017/3/29","水","23:47:31","15","ホンダ/本田技研工業","フィット","1.4","0.0","0.0","0.8","1.5","1.4","2.0","0.4","0.0","0.8","1.6","2.0","4.9","2.6","TX","ワールドビジネスサテライト"
"2017/3/29","水","23:47:16","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","1.4","0.0","0.0","0.8","1.5","1.6","2.0","0.4","0.0","0.8","1.6","2.2","4.9","2.7","TX","ワールドビジネスサテライト"
"2017/3/29","水","22:11:54","30","ホンダ/本田技研工業","フリード","2.7","2.4","1.0","2.1","2.6","2.9","2.6","3.0","0.0","2.6","3.6","3.4","2.6","4.8","TBS","生き物にサンキュー＆アイ・アム冒険少年合体４時間"
"2017/3/29","水","06:44:25","15","ホンダ/本田技研工業","フリード","3.3","2.4","1.0","3.3","5.2","4.7","2.3","2.2","1.0","1.0","4.4","3.4","2.0","6.2","NTV","ＺＩＰ！"
"2017/3/29","水","06:44:10","15","ホンダ/本田技研工業","フィット","3.3","2.4","1.0","3.3","5.2","4.7","2.3","2.2","1.0","1.0","4.4","3.4","2.0","6.2","NTV","ＺＩＰ！"
"2017/3/28","火","23:57:00","15","ホンダ/本田技研工業","フィット","3.1","0.0","1.0","2.3","3.3","4.9","4.6","0.7","0.5","2.4","3.3","6.0","2.0","5.8","EX","中居正広のミになる図書館"
"2017/3/28","火","23:56:45","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","3.1","0.0","1.0","2.3","3.3","5.3","4.6","0.7","0.5","2.4","3.3","6.0","2.0","5.9","EX","中居正広のミになる図書館"
"2017/3/28","火","23:47:19","30","ホンダ/本田技研工業","フリード","1.4","0.3","0.5","1.0","1.5","2.4","2.6","0.0","0.5","0.0","1.7","2.6","1.3","2.7","TBS","ＮＥＷＳ２３"
"2017/3/28","火","23:29:35","15","ホンダ/本田技研工業","フィット","4.2","1.4","2.9","4.0","5.2","6.3","4.6","1.1","1.9","2.4","5.8","5.1","3.0","7.9","NTV","ＮＥＷＳＺＥＲＯ"
