date,week,time,duration,product,person,FC,FT,F1,F2,F3-,F3+,MC,MT,M1,M2,M3-,M3+,family,network,program
2017/3/31,金,21,15,ラパン,4,3.1,1.9,3.5,4,4.9,3.9,3,5.2,3,4.3,4.4,5.6,6.7,NTV,金曜ロードＳＨＯＷ！ルパン三世～隠された空中都市～
2017/3/31,金,21,15,ワゴンR,4,2.7,1.9,3.5,4,4.9,3.9,3,5.2,3,4.3,4.4,5.6,6.7,NTV,金曜ロードＳＨＯＷ！ルパン三世～隠された空中都市～
2017/3/31,金,19,15,ハスラー,5.3,7.5,9.6,5.8,7.5,7.2,4.2,4.5,4.8,2.4,3.8,3.9,3,9.4,EX,ミュージックステーション３時間スペシャル
2017/3/31,金,19,15,ワゴンR,5.2,7.8,9.6,5.8,7.4,6.9,4.6,4.5,4.8,2.2,3.8,3.8,3,9.3,EX,ミュージックステーション３時間スペシャル
2017/3/31,金,19,15,ソリオ バンディット ハイブリッド,4.8,6.4,9.1,5.2,6.6,6.7,3.9,3.7,3.8,2.4,3.2,3.9,3.6,8.7,EX,ミュージックステーション３時間スペシャル
2017/3/31,金,19,15,ソリオ ハイブリッド,4.7,6.4,9.1,5.2,6.5,6.7,3.9,3.7,3.8,2.4,3.2,3.8,3.6,8.6,EX,ミュージックステーション３時間スペシャル
2017/3/30,木,22,15,ハスラー,4.4,1.7,3.3,2.5,5.7,5.6,4.9,2.2,1.9,3,5.3,6.7,3,7.5,NTV,体感！奇跡のリアルタイム
2017/3/30,木,22,15,ワゴンR スティングレー,4.5,1.7,3.3,2.5,6,5.8,4.9,2.2,1.9,3,5.5,6.8,3,7.7,NTV,体感！奇跡のリアルタイム
2017/3/30,木,21,15,ワゴンR スティングレー,3.4,2.7,2.9,3.1,4.1,4.3,3.6,3.4,1.4,2.6,3.3,4.1,2,5.4,NTV,体感！奇跡のリアルタイム
2017/3/30,木,21,15,ワゴンR,3.4,2.7,2.9,3.1,4.2,4.2,3.6,3.4,1.4,2.6,3.3,4.1,2.3,5.5,NTV,体感！奇跡のリアルタイム
2017/3/30,木,20,15,ワゴンR,5.7,4.7,3.3,5,7.2,7.6,6.9,3.7,1.4,4.4,5.6,6.1,7.2,9.4,NTV,ぐるナイ春の熱血ゴチ２時間スペシャル
2017/3/30,木,20,15,ワゴンR,5.9,4.7,3.8,5.2,7.3,8.2,7.2,3.7,1.4,4.4,6,6.5,7.6,9.8,NTV,ぐるナイ春の熱血ゴチ２時間スペシャル
2017/3/30,木,19,15,スイフト,2.9,1.7,1.4,1.9,3.1,4.2,7.8,3.4,1.9,1.2,2.2,2.7,3.6,4.8,CX,さまぁ～ずＴＶ動物園スペシャル
2017/3/30,木,19,15,ワゴンR,2.8,1.7,1.4,1.9,3.2,3.8,8.2,3.4,1.9,1.2,2.2,2.4,3.9,4.8,CX,さまぁ～ずＴＶ動物園スペシャル
2017/3/29,水,26,15,スイフト,1,0,0.5,0.8,0.9,1.6,0.7,0.4,0,1.2,1.2,2.2,0.3,2.1,EX,お願い！ランキング２部
2017/3/29,水,21,15,スペーシア カスタムZ,5,2,4.8,6.7,6.5,7.2,5.9,4.1,2.4,2.8,4,5.6,3.3,8.9,NTV,ザ！世界仰天ニュース仰天事件の真相２時間スペシャル
2017/3/29,水,21,15,スペーシア,5,2,4.8,6.7,6.5,7.2,5.9,4.1,2.4,2.8,4,5.6,3.3,8.9,NTV,ザ！世界仰天ニュース仰天事件の真相２時間スペシャル
2017/3/29,水,21,15,ワゴンR,5.7,3.4,7.7,3.1,5.4,9.2,11.8,2.6,3.8,2.8,4.1,6.7,10.2,9,EX,くりぃむクイズミラクル９３時間スペシャル
2017/3/29,水,21,15,ワゴンR,5.8,3.4,7.7,3.3,5.5,8.9,12.7,2.6,3.8,2.8,4,6.8,10.5,9.1,EX,くりぃむクイズミラクル９３時間スペシャル
2017/3/28,火,27,15,スイフト,0.7,0,0,0.4,0.4,1.3,1.6,0.4,0,1,1,0.9,0.3,1.6,EX,２０１８ＦＩＦＡＷ杯ロシアアジア地区最終予選
2017/3/28,火,26,15,スイフト,0.9,0,0,0.4,0.6,1.6,1.3,0.4,0,1.2,1.2,1.4,0.3,1.9,EX,２０１８ＦＩＦＡＷ杯ロシアアジア地区最終予選
2017/3/25,土,22,15,スペーシア カスタムZ,2.6,4,2.4,2.7,3,2.3,0.6,1.8,2.9,3.6,2.7,2.9,1,4.2,CX,土曜プレミアム・映画「怪盗グルーの月泥棒」
2017/3/25,土,22,15,スペーシア,2.6,3.3,2.4,2.7,3.2,2.3,0.6,1.8,2.9,3.4,2.7,2.9,1,4.2,CX,土曜プレミアム・映画「怪盗グルーの月泥棒」
2017/3/25,土,21,15,ハスラー,6.5,6.3,8.3,4.9,7.7,7.4,5.8,5.5,6.8,3.8,7.5,7.5,4.2,10,NTV,エンタの神様大爆笑の最強ネタ大大連発スペシャル
2017/3/25,土,21,15,ワゴンR,6.5,6.3,8.3,4.9,7.7,7.5,5.8,5.5,6.8,3.8,7.5,7.6,4.2,10,NTV,エンタの神様大爆笑の最強ネタ大大連発スペシャル
2017/3/25,土,21,15,イグニス,6.1,7.6,6.8,4.3,7.9,6.6,4.9,4.7,4.9,3,7.2,7.6,3.6,9.3,NTV,エンタの神様大爆笑の最強ネタ大大連発スペシャル
2017/3/25,土,21,15,スイフト,6.2,7.6,7.3,4.3,8,6.8,4.9,4.7,4.9,3,7.3,7.8,3.6,9.6,NTV,エンタの神様大爆笑の最強ネタ大大連発スペシャル
2017/3/25,土,20,15,ワゴンR,4.1,0.7,1.9,2.1,3.9,7.2,7.8,1.1,1,1.6,3.8,5.8,9.1,7.2,EX,池上彰のニュースそうだったのか！！２時間半ＳＰ
2017/3/25,土,20,15,ワゴンR,4.1,0.7,1.9,2.1,4.2,7.4,7.8,1.1,1,1.6,3.6,5.8,9.1,7.3,EX,池上彰のニュースそうだったのか！！２時間半ＳＰ
2017/3/25,土,19,15,スペーシア カスタムZ,3.6,0.3,1.5,1.4,3.2,5.7,6.2,2.6,2,1.4,3.6,6.1,7.5,6.4,EX,池上彰のニュースそうだったのか！！２時間半ＳＰ
2017/3/25,土,19,15,スイフト,3.6,0.3,1.5,1.4,3.2,5.7,5.8,2.6,2,1.4,3.6,6.1,7.1,6.4,EX,池上彰のニュースそうだったのか！！２時間半ＳＰ
2017/3/24,金,22,15,ハスラー,3.9,3.7,3.4,3.9,6.3,2.9,3.2,6.2,3.9,2.8,4.1,3.7,1,6.9,NTV,金曜ロードＳＨＯＷ！「おおかみこどもの雨と雪」
2017/3/24,金,22,15,ワゴンR スティングレー,4,3.7,3.4,3.9,6.5,3.1,3.2,6.2,4.4,2.8,4,3.9,1.6,7,NTV,金曜ロードＳＨＯＷ！「おおかみこどもの雨と雪」
2017/3/24,金,21,15,ハスラー,5.6,3,3.4,5.7,8.5,7.4,4.9,5.5,4.4,3.2,5.6,5.1,5.5,9.4,EX,明石家さんまのコンプレッくすっ杯
2017/3/24,金,21,15,スイフト,5.6,3,3.4,5.7,8.4,7.4,4.9,5.1,4.4,3.2,5.6,5.3,5.5,9.3,EX,明石家さんまのコンプレッくすっ杯
2017/3/23,木,22,15,スイフト,3.7,0.3,2.4,3.7,4.7,5.6,7.1,0,2,1.2,4.1,3.9,6.2,6.9,NTV,ダウンタウンＤＸＤＸ
