date,week,time,duration,product,person,FC,FT,F1,F2,F3-,F3p,MC,MT,M1,M2,M3-,M3p,family,network,program,Genre
2017/3/31,金,23,15,フィット,2.4,0.3,0.5,1.2,2.9,3.3,2.9,0.7,0.5,1.4,2.8,2.9,5.9,4.3,TX,ワールドビジネスサテライト,News
2017/3/31,金,23,15,ヴェゼル ハイブリッド,2.4,0.3,0.5,1.2,3.1,3.3,2.9,0.7,0.5,1.4,2.9,2.9,5.9,4.4,TX,ワールドビジネスサテライト,News
2017/3/31,金,23,15,フィット,4.7,0,2.4,3.1,4.1,8.3,7.8,0.7,2.4,3,5.3,6.8,7.6,8.9,EX,報道ステーション,News
2017/3/31,金,23,15,フリード,5,0,2.4,3.1,4.5,8.9,7.8,0.7,2.4,3.2,5.8,7.5,8.2,9.5,EX,報道ステーション,News
2017/3/31,金,19,30,フリード,2.9,0.3,1,2.3,2.6,4.3,4.2,1.9,1.9,2.2,2.2,4.1,6.9,5.3,NTV,次の瞬間、熱くなれ。ＴＨＥＢＡＳＥＢＡＬＬ２０１７,Sports
2017/3/31,金,6,15,ヴェゼル ハイブリッド,3.3,1.4,1,2.9,5.6,3.4,1.6,2.6,1,2,5,3.9,1.6,6.3,NTV,ＺＩＰ！,News
2017/3/31,金,6,15,フィット,3.3,1.4,1,2.9,5.6,3.4,1.6,2.6,1,2,5,4.1,1.6,6.3,NTV,ＺＩＰ！,News
2017/3/31,金,6,30,企業,0.8,0,1,0.2,0.9,0.9,1.6,0.4,0,0.4,1,2,0.3,1.7,TBS,あさチャン！,News
2017/3/30,木,23,30,フリード,2,0,0.5,1,2.2,2.9,2.9,0.7,0,0.6,2.6,3.2,3.6,3.8,TBS,ＮＥＷＳ２３,News
2017/3/30,木,23,30,フリード,3,0.7,2.9,1.9,3.8,4,3.3,1.1,1,2.4,3.9,4.4,2.3,5.2,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/30,木,23,30,NSX,1.6,0.3,0.5,1,1.4,2.9,2,0,0,1.4,2.2,1.9,3,3.2,TX,ワールドビジネスサテライト,News
2017/3/30,木,22,15,フリード,1.6,0.3,1,1,0.9,3.6,2.9,0,1,0.8,1.5,2.4,3.3,3.2,TX,カンブリア宮殿,Variety
2017/3/30,木,22,15,フィット,1.6,0.3,1,1,0.8,3.6,2.9,0,1,0.8,1.5,2.6,3.3,3.2,TX,カンブリア宮殿,Variety
2017/3/30,木,21,15,フィット,4.8,3.1,5.7,2.1,4.9,7.8,9.5,3.4,1.4,2.4,3.3,5.5,9.9,7.9,EX,ザ・タイムショック新クイズ王決定戦スペシャル,Variety
2017/3/30,木,21,15,フリード,4.6,2.7,5.3,2.1,4.7,7.8,9.2,3.4,1.4,2.4,3,4.9,9.5,7.6,EX,ザ・タイムショック新クイズ王決定戦スペシャル,Variety
2017/3/30,木,20,30,企業,5,4.7,4.3,5,6.8,6,5.6,2.6,1,3.4,5.2,5.1,5.9,8.3,NTV,ぐるナイ春の熱血ゴチ２時間スペシャル,Variety
2017/3/30,木,20,15,フリード,3.5,3.1,3.3,2.3,5,5.3,5.2,1.1,2.4,2,2.2,4.4,3.9,6,TBS,ＣＤＴＶ春スペシャル卒業ソング音楽祭２０１７,Music
2017/3/30,木,20,15,フィット,3.4,3.1,3.3,2.3,4.9,5.1,5.2,1.5,2.4,2,2.3,4.3,3.6,5.9,TBS,ＣＤＴＶ春スペシャル卒業ソング音楽祭２０１７,Music
2017/3/29,水,23,15,フィット,1.4,0,0,0.8,1.5,1.4,2,0.4,0,0.8,1.6,2,4.9,2.6,TX,ワールドビジネスサテライト,News
2017/3/29,水,23,15,ヴェゼル ハイブリッド,1.4,0,0,0.8,1.5,1.6,2,0.4,0,0.8,1.6,2.2,4.9,2.7,TX,ワールドビジネスサテライト,News
2017/3/29,水,22,30,フリード,2.7,2.4,1,2.1,2.6,2.9,2.6,3,0,2.6,3.6,3.4,2.6,4.8,TBS,生き物にサンキュー＆アイ・アム冒険少年合体４時間,Sports
2017/3/29,水,6,15,フリード,3.3,2.4,1,3.3,5.2,4.7,2.3,2.2,1,1,4.4,3.4,2,6.2,NTV,ＺＩＰ！,News
2017/3/29,水,6,15,フィット,3.3,2.4,1,3.3,5.2,4.7,2.3,2.2,1,1,4.4,3.4,2,6.2,NTV,ＺＩＰ！,News
2017/3/28,火,23,15,フィット,3.1,0,1,2.3,3.3,4.9,4.6,0.7,0.5,2.4,3.3,6,2,5.8,EX,中居正広のミになる図書館,Variety
2017/3/28,火,23,15,ヴェゼル ハイブリッド,3.1,0,1,2.3,3.3,5.3,4.6,0.7,0.5,2.4,3.3,6,2,5.9,EX,中居正広のミになる図書館,Variety
2017/3/28,火,23,30,フリード,1.4,0.3,0.5,1,1.5,2.4,2.6,0,0.5,0,1.7,2.6,1.3,2.7,TBS,ＮＥＷＳ２３,News
2017/3/28,火,23,15,フィット,4.2,1.4,2.9,4,5.2,6.3,4.6,1.1,1.9,2.4,5.8,5.1,3,7.9,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/28,火,23,15,ヴェゼル ハイブリッド,4.3,1.4,2.9,4,5.2,6.3,4.6,1.1,1.9,2.4,6,5.1,3,8,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/28,火,23,15,フリード,2,0,0,0.4,1.4,2.2,2.3,0,0.5,1.6,3.3,3.6,5.6,4.1,TX,ワールドビジネスサテライト,News
2017/3/28,火,23,15,フィット,2.2,0.3,0,0.4,1.9,2.4,2.3,0.4,0.5,1.6,3.4,3.6,5.9,4.2,TX,ワールドビジネスサテライト,News
2017/3/28,火,22,15,フィット,1.4,0,0,0.2,0.5,2.4,2,0,1,1,1.6,2.7,4.9,2.8,TX,ガイアの夜明け,Variety
2017/3/28,火,22,15,ヴェゼル ハイブリッド,1.4,0,0,0.2,0.5,2.2,2,0,1,1,1.6,2.6,4.9,2.7,TX,ガイアの夜明け,Variety
2017/3/28,火,21,15,フリード,2.9,0.3,2.4,1.5,3.3,5.4,6.9,0.7,1,0.6,1.9,4.4,5.3,5.2,TBS,予約殺到！スゴ腕の専門外来スペシャル（８）,Sports
2017/3/28,火,21,15,フィット,2.9,0.3,2.4,1.5,3.3,5.3,7.2,0.7,1,0.4,1.9,4.3,5.3,5.2,TBS,予約殺到！スゴ腕の専門外来スペシャル（８）,Sports
2017/3/28,火,20,15,フィット,6.2,2.4,1.9,3.5,6,7.4,7.5,3.4,3.8,5.1,6.9,9.2,11.5,11.2,EX,２０１８ＦＩＦＡＷ杯ロシアアジア地区最終予選,Sports
2017/3/28,火,20,15,フリード,6.4,2.4,2.4,3.5,6,7.8,8.2,3.4,4.3,5.3,6.9,9.9,12.2,11.5,EX,２０１８ＦＩＦＡＷ杯ロシアアジア地区最終予選,Sports
