StartDate	EndDate	Network/Property	GeoID	Geo	Query	Most-specific category ID	Most-specific category	Most-specific Brand	KG labels	Impressions	Clicks	Page CTR	Cost USD	CPC USD	RPMad	Queries	Matched Queries	Coverage	IPQ	Depth	qCTR	RPMq	RPMmq
2016-03-27	2016-03-27	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	86	1	2.33	0.24	0.2387	2.7754	351	43	12.25	0.25	2.00	0.28	0.6800	5.5508
2016-03-27	2016-03-27	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	12	1	9.09	2.01	2.0067	167.2266	65	11	16.92	0.18	1.09	1.54	30.8726	182.4290
2016-03-27	2016-03-27	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	81	1	2.00	0.06	0.0617	0.7613	432	50	11.57	0.19	1.62	0.23	0.1427	1.2333
2016-03-27	2016-03-27	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	9	0	0.00	0.00	0.0000	0.0000	181	5	2.76	0.05	1.80	0.00	0.0000	0.0000
2016-03-27	2016-03-27	Google search (excluding search partners)	20633	Japan / Gunma (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	92	1	1.54	0.70	0.6984	7.5910	268	65	24.25	0.34	1.42	0.37	2.6059	10.7442
2016-03-27	2016-03-27	Google search (excluding search partners)	20633	Japan / Gunma (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	14	0	0.00	0.00	0.0000	0.0000	31	12	38.71	0.45	1.17	0.00	0.0000	0.0000
2016-03-27	2016-03-27	Google search (excluding search partners)	20634	Japan / Saitama (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	159	5	5.68	1.24	0.2475	7.7838	867	88	10.15	0.18	1.81	0.58	1.4275	14.0639
2016-03-27	2016-03-27	Google search (excluding search partners)	20634	Japan / Saitama (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	30	0	0.00	0.00	0.0000	0.0000	217	23	10.60	0.14	1.30	0.00	0.0000	0.0000
2016-03-27	2016-03-27	Google search (excluding search partners)	20635	Japan / Chiba (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	159	5	7.46	0.96	0.1927	6.0583	639	67	10.49	0.25	2.37	0.78	1.5075	14.3772
2016-03-27	2016-03-27	Google search (excluding search partners)	20635	Japan / Chiba (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	42	0	0.00	0.00	0.0000	0.0000	123	32	26.02	0.34	1.31	0.00	0.0000	0.0000
2016-03-27	2016-03-27	Google search (excluding search partners)	20636	Japan / Tokyo (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	419	14	6.54	4.17	0.2978	9.9514	3257	214	6.57	0.13	1.96	0.43	1.2802	19.4843
2016-03-27	2016-03-27	Google search (excluding search partners)	20636	Japan / Tokyo (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	87	2	2.82	3.45	1.7238	39.6283	746	71	9.52	0.12	1.23	0.27	4.6215	48.5587
2016-03-27	2016-03-27	Google search (excluding search partners)	20637	Japan / Kanagawa (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	242	2	1.67	0.08	0.0397	0.3284	1487	120	8.07	0.16	2.02	0.13	0.0535	0.6624
2016-03-27	2016-03-27	Google search (excluding search partners)	20637	Japan / Kanagawa (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	60	1	1.96	2.11	2.1128	35.2134	282	51	18.09	0.21	1.18	0.35	7.4922	41.4275
2016-03-28	2016-03-28	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	53	2	7.14	0.71	0.3571	13.4771	313	28	8.95	0.17	1.89	0.64	2.2821	25.5102
2016-03-28	2016-03-28	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	11	0	0.00	0.00	0.0000	0.0000	64	5	7.81	0.17	2.20	0.00	0.0000	0.0000
2016-03-28	2016-03-28	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	92	1	1.79	0.63	0.6345	6.8971	466	56	12.02	0.20	1.64	0.21	1.3617	11.3309
2016-03-28	2016-03-28	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	3	0	0.00	0.00	0.0000	0.0000	214	3	1.40	0.01	1.00	0.00	0.0000	0.0000
2016-03-28	2016-03-28	Google search (excluding search partners)	20633	Japan / Gunma (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	104	3	3.95	1.95	0.6492	18.7277	195	76	38.97	0.53	1.37	1.54	9.9881	25.6274
2016-03-28	2016-03-28	Google search (excluding search partners)	20633	Japan / Gunma (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	9	0	0.00	0.00	0.0000	0.0000	27	8	29.63	0.33	1.13	0.00	0.0000	0.0000
2016-03-28	2016-03-28	Google search (excluding search partners)	20634	Japan / Saitama (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	111	2	3.85	0.68	0.3393	6.1135	693	52	7.50	0.16	2.13	0.29	0.9792	13.0499
2016-03-28	2016-03-28	Google search (excluding search partners)	20634	Japan / Saitama (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	11	0	0.00	0.00	0.0000	0.0000	182	9	4.95	0.06	1.22	0.00	0.0000	0.0000
2016-03-28	2016-03-28	Google search (excluding search partners)	20635	Japan / Chiba (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	122	4	8.16	1.12	0.2798	9.1726	499	49	9.82	0.24	2.49	0.80	2.2426	22.8380
2016-03-28	2016-03-28	Google search (excluding search partners)	20635	Japan / Chiba (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	2	0	0.00	0.00	0.0000	0.0000	81	1	1.23	0.02	2.00	0.00	0.0000	0.0000
2016-03-28	2016-03-28	Google search (excluding search partners)	20636	Japan / Tokyo (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	383	10	5.59	3.84	0.3836	10.0163	2978	179	6.01	0.13	2.14	0.34	1.2882	21.4316
2016-03-28	2016-03-28	Google search (excluding search partners)	20636	Japan / Tokyo (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	40	1	3.85	0.36	0.3611	9.0277	744	26	3.49	0.05	1.54	0.13	0.4854	13.8887
