date,week,time,duration,product,person,FC,FT,F1,F2,F3-,F3p,MC,MT,M1,M2,M3-,M3p,family,network,program,Genre
2017/3/31,金,24,30,CX-5,2.4,0,1.4,2.3,1.7,4.2,2.3,0.4,1.9,1,3,3.8,3.6,4.4,CX,ユアタイム〜あなたの時間〜,News
2017/3/31,金,24,30,CX-5,2.4,0.3,1,1.5,2.3,3.8,4.6,0.4,2.4,2,2.8,2.9,2,4.6,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/31,金,23,30,CX-5,1.7,0,0,1.7,1.1,2.7,4.2,0,0.5,0.6,1.6,2.7,3.9,3.5,TBS,ＮＥＷＳ２３,News
2017/3/31,金,21,30,CX-5,3.5,0.7,4.3,3.7,4.3,5.6,2.9,1.1,2.9,2.2,3.6,4.3,2,6.4,EX,報道ステーション,News
2017/3/30,木,24,30,CX-5,1.7,0,0,0.8,2.2,3.6,2.3,0,0,0.8,2.1,2.9,1.6,3.4,CX,ユアタイム〜あなたの時間〜,News
2017/3/30,木,23,30,アクセラ,2.8,0.7,2.4,1.7,3.8,3.8,2.9,1.1,1,2,3.5,3.9,2.6,5,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/30,木,23,30,アクセラ,2.2,0,0.5,1.5,2.4,3.6,3.9,0.7,1,0.2,2.8,3.8,3,4.1,TBS,ＮＥＷＳ２３,News
2017/3/30,木,22,30,アクセラ,4.6,1,2.9,3.5,4.2,6.5,7.5,1.5,1.9,2.6,4.5,7.2,8.6,8.2,EX,報道ステーション,News
2017/3/30,木,22,30,アクセラ,4.2,1,1.4,2.9,4,8.9,10.8,0.4,1,0.8,3,4.8,9.2,7.3,CX,世界フィギュアスケート選手権２０１７,Sports
2017/3/29,水,24,30,CX-5,1.5,0.3,0,0.4,1.4,2.5,3.3,0.4,0,0.6,1,2.6,4.6,3,CX,ユアタイム〜あなたの時間〜,News
2017/3/29,水,23,30,CX-5,1.4,0.7,0,0.6,1.3,2.7,1.6,0,0,0.8,1.6,3.4,1,2.8,TBS,ＮＥＷＳ２３,News
2017/3/29,水,23,30,CX-5,3.7,1.4,2.4,4,5.1,4.9,4.6,1.9,1.4,1.4,5.1,4.6,2,6.8,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/28,火,24,30,CX-5,1.3,0.7,0,1.5,2,1.6,2,0.4,0.5,1.2,1.3,1.5,1,2.6,CX,ユアタイム〜あなたの時間〜,News
2017/3/28,火,23,30,アクセラ,4,0.7,2.9,3.5,4.7,6.3,4.6,1.1,1.4,2.2,5.7,4.4,3.3,7.7,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/28,火,23,30,CX-5,2.1,0.3,1,0.8,1.9,3.3,4.9,0,1.4,0.4,2.7,3.2,3,4,TBS,ＮＥＷＳ２３,News
2017/3/27,月,23,30,アクセラ,1.7,0.3,0,0.8,2,2.7,1.6,0.4,0.5,1,1.7,3.4,2,3.2,CX,ユアタイム〜あなたの時間〜,News
2017/3/27,月,23,30,アクセラ,1.6,0,0,1,1.3,2.5,3.3,0,0,1.2,1.2,3.2,3,3.2,TBS,ＮＥＷＳ２３,News
