date,week,time,duration,product,person,FC,FT,F1,F2,F3-,F3p,MC,MT,M1,M2,M3-,M3p,family,network,program,Genre
2017/3/31,金,23,15,エクストレイル 4WD ハイブリッド,2.7,0.3,1.9,1.7,1.8,5.4,5.2,0.4,2.4,2.2,2.8,3.2,3,5.1,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/31,金,23,15,ノート e-POWER,2.7,0.3,1.9,1.7,1.9,5.4,5.2,0.4,2.4,2.2,3,3.2,3.3,5.3,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/31,金,7,15,エクストレイル 4WD ハイブリッド,4.5,2.4,1.4,5.4,6.6,5.4,3.6,3.4,1.9,3.2,5.7,4.3,2.3,7.8,NTV,ＺＩＰ！,News
2017/3/31,金,7,15,ノート e-POWER,4.5,2.4,1.4,5.4,6.6,5.8,3.6,3.4,1.9,3.2,5.7,4.4,2.3,7.9,NTV,ＺＩＰ！,News
2017/3/31,金,5,15,エクストレイル 4WD ハイブリッド,1.7,0,1,0.8,2.3,2.4,1.6,0,0.5,1.4,2.4,3.2,1,3.6,CX,めざましテレビ,News
2017/3/31,金,5,15,ノート e-POWER,1.7,0,1,0.8,2.2,2.4,1.6,0,0.5,1.4,2.3,3.2,1,3.5,CX,めざましテレビ,News
2017/3/30,木,6,15,エクストレイル 4WD ハイブリッド,3.1,0.7,1.4,1.9,5,5.3,3.3,1.5,0.5,1.4,3.4,4.9,1.6,6.1,CX,めざましテレビ,News
2017/3/30,木,6,15,ノート e-POWER,3.1,0.7,1.4,1.9,5,5.3,3.3,1.5,0.5,1.4,3.4,4.9,1.6,6.1,CX,めざましテレビ,News
2017/3/29,水,23,15,エクストレイル 4WD ハイブリッド,4,1.4,2.4,4.2,5.1,5.8,4.9,2.2,1.9,1.6,5.1,5.1,2.6,7.3,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/29,水,23,15,ノート e-POWER,4.1,1.4,2.4,4.2,5.1,6,5.2,2.2,1.9,1.6,5.1,5.5,3,7.6,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/29,水,21,15,エクストレイル 4WD ハイブリッド,5.2,1.7,6.2,2.9,4.6,8.3,10.1,3,4.8,3.2,3.8,7.2,7.2,8.3,EX,くりぃむクイズミラクル９３時間スペシャル,Variety
2017/3/29,水,21,15,ノート e-POWER,5.4,1.7,6.2,2.9,5,8.7,10.5,3.7,4.8,3.2,4.1,7.5,7.9,8.7,EX,くりぃむクイズミラクル９３時間スペシャル,Variety
2017/3/29,水,21,15,エクストレイル 4WD ハイブリッド,5,2.7,6.2,3.3,4.3,8.3,9.5,2.6,4.8,2.6,3.6,6.8,7.2,8,EX,くりぃむクイズミラクル９３時間スペシャル,Variety
2017/3/29,水,21,15,ノート e-POWER,5.1,2.7,6.7,3.3,4.3,8.3,9.5,2.6,4.8,2.6,3.6,7,7.6,8.1,EX,くりぃむクイズミラクル９３時間スペシャル,Variety
2017/3/29,水,20,15,エクストレイル 4WD ハイブリッド,5.7,3.1,5.7,5.2,7.7,6.3,8.2,3.7,2.9,3,4.4,7,9.2,10.2,NTV,忍２４時,Variety
2017/3/29,水,20,15,ノート e-POWER,5.7,3.1,5.7,5.2,7.7,6.5,8.2,3.7,2.4,3.2,4.4,7.2,9.2,10.3,NTV,忍２４時,Variety
