pro_id,time,status,line_ex,multi_br,br_ex,ave_price_ind,sum_disp,sum_flier,ave_PI,max_price,ave_disc
1,23,1,1,0,0,0.99675,0,0,0.796825,20,0.00325
2,15,1,1,0,0,1,0,0,0.416575,90,0
3,15,1,0,1,0,1,0,0,0.04935,188,0
4,15,1,0,1,0,1,0,0,0.1194,90,0
6,21,1,1,0,0,0.9955,0,0,0.08855,95,0.0045
7,12,1,1,0,0,0.9955,0,0,0.13815,95,0.0045
8,52,0,1,0,0,1,0,0,0.9384,128,0
9,52,0,1,0,0,0.9995,0,0,0.57475,128,0.0005
10,37,1,0,0,0,0.9485,0,0,0.5329,150,0.0515
11,46,1,0,0,0,0.9445,0,0,0.385025,150,0.0555
12,33,1,1,0,0,1,0,0,0.148975,150,0
13,19,1,1,0,0,1,0,0,0.1179,150,0
14,52,0,1,0,0,1,0,0,0.1276,150,0
15,52,0,1,0,0,1,0,0,0.046275,150,0
16,18,1,1,0,0,1,0,0,0.1586,150,0
17,52,0,1,0,0,0.999,0,0,0.74385,150,0.001
18,52,0,1,0,0,0.9935,14,0,0.615525,150,0.0065
19,52,0,1,0,0,0.99275,14,0,0.744025,150,0.00725
20,20,1,1,0,0,0.996,0,0,0.3656,150,0.004
21,33,1,0,1,0,1,0,0,0.110475,88,0
22,23,1,1,0,0,0.987,0,0,0.208325,115,0.013
23,29,1,1,0,0,0.999,0,0,0.1314,115,0.001
24,39,1,1,0,0,0.99625,0,0,0.337325,90,0.00375
25,23,1,1,0,0,0.99725,0,0,0.258,90,0.00275
26,26,1,1,0,0,1,0,0,0.194,90,0
27,26,1,1,0,0,1,0,0,0.071075,115,0
28,26,1,1,0,0,0.9965,0,0,0.11015,90,0.0035
29,23,1,1,0,0,0.9975,0,0,0.305775,90,0.0025
30,20,1,1,0,0,0.99975,0,0,1.039425,95,0.00025
31,36,1,0,0,1,0.99575,0,0,0.990475,148,0.00425
32,25,1,1,0,0,1,0,0,0.202475,95,0
33,11,1,1,0,0,1,0,0,0.045675,95,0
34,43,1,0,1,0,1,0,0,0.0781,90,0
35,44,1,1,0,0,1,0,0,0.243675,90,0
36,39,1,1,0,0,0.99625,0,0,0.45085,90,0.00375
37,21,1,1,0,0,0.99775,0,0,0.080475,95,0.00225
39,52,0,1,0,0,1,0,0,0.32615,90,0
40,52,0,1,0,0,1,0,0,0.1202,90,0
41,52,0,1,0,0,0.99925,0,0,0.32665,90,0.00075
42,52,0,0,1,0,0.948,12,0,0.55575,95,0.052
44,27,1,0,0,1,1,0,0,0.200825,98,0
45,7,1,0,0,1,1,0,0,0.395825,78,0
46,5,1,1,0,0,1,2,0,0.15165,100,0
47,52,0,0,0,0,1,0,0,0.32375,100,0
48,33,1,0,0,0,1,0,0,0.373325,100,0
49,28,1,1,0,0,0.99675,0,0,0.1847,208,0.00325
50,28,1,1,0,0,0.99775,0,0,0.3696,208,0.00225
51,52,0,0,1,0,0.91725,11,4,0.17915,228,0.08275
52,52,0,1,0,0,0.51,18,0,8.136825,288,0.49
53,5,1,1,0,0,0.9575,27,1,2.158325,498,0.0425
54,12,1,1,0,0,0.99375,0,0,0.026475,398,0.00625
55,17,1,1,0,0,0.9935,0,0,0.04085,398,0.0065
56,52,0,1,0,0,1,0,0,0.09035,278,0
57,52,0,1,0,0,0.7595,12,1,0.82895,858,0.2405
58,52,0,0,1,0,0.9985,0,0,1.446325,98,0.0015
60,13,1,1,0,0,1,0,0,0.6938,108,0
61,52,0,0,1,0,0.926,0,0,1.3316,135,0.074
64,9,1,1,0,0,1,0,0,0.110075,98,0
65,17,1,1,0,0,0.9935,0,0,0.057775,98,0.0065
66,31,1,1,0,0,1,0,0,0.2152,98,0
67,10,1,1,0,0,0.845,13,0,0.80335,98,0.155
69,20,1,1,0,0,1,0,0,0.32905,90,0
70,17,1,1,0,0,1,0,0,0.1132,95,0
71,52,0,1,0,0,1,0,0,1.096075,90,0
72,25,1,1,0,0,1,0,0,0.0596,28,0
73,39,1,1,0,0,1,0,0,0.235525,90,0
74,48,1,1,0,0,0.99175,0,0,0.4314,95,0.00825
75,52,0,0,1,0,0.908,0,0,0.307075,95,0.092
