pid,A,B,C,D,E,F,G,H,I,ALL,Ap,Bp,Cp,Dp,Ep,Fp,Gp,Hp,Ip,Ae,Be,Ce,De,Ee,Fe,Ge,He,Ie,Aa,Ba,Ca,Da,Ea,Fa,Ga,Ha,Ia
100011,0,0,2,0,0,0,0,0,0,2,0.997972973,0.778037383,0.730916751,0.877686916,0.836065574,0.598634812,1,0.819843979,0.848130841,0,1,1,1,0,2,0,1,1,0,0,1,0,0,1,0,0,0
100075,0,0,2,0,0,0,0,0,0,2,1,1,0.573943662,0.941588785,0.948770492,0.726962457,0.940191388,0.940273038,0.941588785,1,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0
100149,0,0,3,0,0,0,0,0,0,3,1,0.894859813,0.498709451,0.957943925,1,0.835039818,0.920255183,0.937428896,0.96105919,1,1,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0
100301,0,1,2,0,0,0,0,0,0,3,0.99978204,0.859813084,0.715843081,0.859813084,0.965846995,0.815212092,0.960127592,0.92036405,0.859813084,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100303,0,0,1,0,0,0,0,1,0,2,0.987642248,0.87694704,0.684663537,0.977803738,1,0.858361775,0.812200957,0.756877339,0.930490654,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
100406,0,0,0,0,0,2,0,0,0,2,1,0.696261682,0.75,0.789719626,0.916569087,0.641638225,1,0.940273038,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
100518,0,1,1,0,0,0,1,0,0,3,0.995709996,0.717757009,0.722313006,0.892523364,1,0.823663254,0.840510367,0.756800083,0.821261682,1,2,0,0,1,1,1,3,1,0,0,0,0,0,0,0,1,0
100608,0,0,4,0,0,0,0,0,0,4,0.992515841,0.921728972,0.559171904,0.892163911,0.969262295,0.762969283,0.928229665,0.819032044,0.941588785,2,1,4,0,0,2,0,1,0,0,1,4,0,0,1,0,0,0
100610,0,0,2,0,0,0,0,0,0,2,1,0.84228972,0.610740233,0.936915888,1,0.829351536,1,0.906143345,0.941588785,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
100627,4,0,3,0,0,0,0,0,0,7,0.991062991,0.764908767,0.677454709,0.861610352,0.982435597,0.864358849,1,0.766921285,0.933244326,2,5,1,1,0,3,1,4,0,0,1,1,0,0,1,0,1,0
100721,0,0,1,0,0,0,0,1,0,2,1,0.774922118,0.674120515,0.872955607,1,0.906143345,1,0.653579826,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0
100725,0,0,2,0,0,0,0,0,0,2,1,0.696261682,0.345342775,0.88317757,1,0.812286689,1,0.812286689,1,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
100776,0,0,1,0,0,0,0,0,0,1,1,0.684579439,0.34824103,0.873831776,1,0.812286689,1,0.812286689,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
101027,0,0,2,0,0,0,0,1,0,3,0.987016428,0.704439252,0.501159659,0.84761163,1,0.874857793,1,0.713772617,0.926568758,0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,1,0
101122,0,0,0,0,0,0,0,0,1,1,0.989666137,0.696261682,0.626760563,0.694509346,1,0.597757192,1,0.880546075,0.693712829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101226,0,0,3,0,0,0,0,1,0,4,0.993821124,0.85961838,0.647701885,0.957359813,1,0.843856655,0.86423445,0.831510342,0.93603972,2,1,1,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0
103026,0,0,2,1,0,1,0,2,0,6,0.992170939,0.797702492,0.656475492,0.825123313,0.982923497,0.806598407,1,0.739325983,0.963284379,2,3,2,2,0,3,0,3,0,0,0,1,0,0,1,0,1,0
103045,0,0,6,0,0,0,0,1,0,7,0.99463262,0.859813084,0.662228767,0.906542056,0.93823185,0.791223793,0.967942584,0.787674052,0.901086525,2,1,5,0,0,3,0,4,1,0,0,2,0,0,2,0,0,0
103073,0,0,1,0,0,0,0,0,0,1,0.998933144,1,0.552425665,1,1,0.767918089,0.832535885,0.98890785,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
103078,0,0,2,1,0,0,0,0,0,3,0.997133497,0.790498442,0.507463675,0.775221663,0.924863388,0.806825939,1,0.733965365,0.96105919,1,2,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0
103142,0,0,1,0,0,1,0,1,0,3,0.995322245,0.813343718,0.698239968,0.957943925,1,0.7629124,0.968102073,0.80523322,0.891324183,1,2,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0
103351,0,0,3,0,0,0,0,0,0,3,1,0.894859813,0.498709451,0.919003115,0.965846995,0.755403868,0.960127592,0.897610922,0.96105919,1,1,2,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0
103399,0,0,1,0,0,0,0,0,0,1,0.991400491,0.686915888,0.547389432,0.685478073,0.87704918,0.83003413,1,0.50906333,0.88317757,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
103412,0,0,2,0,0,0,0,0,0,2,0.999466572,0.88317757,0.589593114,0.941588785,1,0.687713311,0.916267943,0.934726962,1,2,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0
103450,0,0,4,0,0,0,0,0,0,4,0.997850123,0.921728972,0.673819189,0.892163911,0.969262295,0.880716724,0.940191388,0.847402351,0.88928753,3,1,3,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0
104112,1,0,0,0,0,0,0,0,0,1,1,0.696261682,0.623826291,0.88123053,1,0.671867382,1,0.880546075,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104148,0,0,2,0,0,0,0,0,0,2,1,1,0.626760563,0.824766355,0.897540984,0.692832765,1,0.880546075,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
104341,0,0,3,0,0,0,0,0,0,3,0.996777878,0.895638629,0.540313953,0.895159358,0.959016393,0.814789534,0.90430622,0.83265706,0.92211838,2,1,3,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0
104425,0,0,2,1,0,0,0,1,0,4,1,0.769275701,0.64170581,0.862946892,1,0.808020478,1,0.820819113,0.970794393,0,2,0,1,0,3,0,3,0,0,0,0,1,0,0,0,0,0
104455,2,0,3,0,0,0,0,2,0,7,0.997806248,0.866688919,0.69312844,0.911508678,0.992974239,0.886335934,0.9316473,0.758126252,0.894051669,3,3,1,1,0,3,0,4,0,0,0,1,0,0,0,0,1,0
