PNL,Date,Product1,Product2,Product3,Choice,Price1,Price2,Price3,Disp1,Disp2,Disp3,Ad1,Ad2,Ad3
100021,20000224,0,0,1,3,0.802817,0.846416,1,0,0,1,0,0,0
100021,20000312,0,0,1,3,1,0.846416,1,0,0,1,0,0,0
100021,20000401,0,0,1,3,0.908451,0.899659,1,0,1,1,0,0,0
100021,20000406,0,0,1,3,0.908451,0.846416,1,0,1,1,0,0,0
100021,20000427,0,0,1,3,1,0.948805,1,0,0,1,0,0,0
100021,20000518,0,0,1,3,0.908451,1,1,0,0,1,0,0,0
100021,20000521,0,0,1,3,0.908451,1,1,0,0,1,0,0,0
100021,20000605,0,0,1,3,0.908451,0.812287,1,0,1,0,0,0,0
100021,20000816,0,0,1,3,0.873239,1,1,0,0,1,0,0,0
100021,20000829,0,0,1,3,1,0.846416,1,0,0,0,0,0,0
100021,20000913,0,0,1,3,1,0.846416,1,0,0,0,0,0,0
100021,20000921,0,0,1,3,0.873239,1,1,0,0,0,0,0,0
100021,20001215,0,1,0,2,0.873239,0.573379,1,0,1,1,0,1,0
100021,20001221,1,0,0,1,0.626761,0.880546,1,1,0,1,0,0,0
100021,20010104,1,0,0,1,0.697183,0.880546,1,0,0,0,0,0,0
100021,20010111,0,0,1,3,0.697183,0.880546,1,1,0,1,0,0,0
100021,20010115,0,0,1,3,1,0.880546,1,0,0,1,0,0,0
100021,20010210,0,0,1,3,0.873239,1,1,0,0,0,0,0,0
100021,20010220,0,0,1,3,1,0.880546,1,0,0,0,0,0,0
100021,20010226,0,0,1,3,1,0.880546,1,0,0,0,0,0,0
100021,20010306,0,0,1,3,1,0.880546,1,0,0,0,0,0,0
100021,20010316,0,0,1,3,0.873239,1,1,0,0,0,0,0,0
100021,20010407,0,0,1,3,0.873239,1,0.99785,0,0,0,0,0,0
100021,20010421,1,0,0,1,1,0.880546,1,0,0,0,0,0,0
100021,20010422,0,0,1,3,1,0.880546,1,0,0,0,0,0,0
100021,20010503,0,0,1,3,1,0.880546,1,0,0,0,0,0,0
100021,20010602,0,0,1,3,0.873239,1,1,0,0,1,0,0,0
100021,20010610,0,0,1,3,0.855841,1,0.992993,0,0,1,0,0,0
100021,20010624,0,1,0,2,1,0.880546,0.996847,0,0,0,0,0,0
100021,20010706,0,1,0,2,1,0.876513,1,0,0,0,0,0,0
100021,20010720,1,0,0,1,0.873239,1,1,0,0,0,0,0,0
100021,20010731,0,1,0,2,0.873239,0.573379,1,0,1,0,0,0,0
100021,20010903,0,0,1,3,1,0.880546,1,0,0,0,0,0,0
100021,20010909,0,1,0,2,0.963028,0.563758,0.984234,0,1,0,0,1,0
100021,20010923,0,0,1,3,0.86385,1,0.987006,0,0,0,0,0,0
100021,20010930,0,0,1,3,0.873239,1,1,0,0,1,0,0,0
100021,20011025,0,1,0,2,1,0.539249,1,0,1,0,0,1,0
100021,20011103,0,1,0,2,1,0.573379,1,0,1,0,0,0,0
100021,20011115,0,1,0,2,0.873239,0.539249,1,0,1,0,0,1,0
100021,20011209,0,1,0,2,0.861167,0.531331,0.981081,0,1,1,0,1,0
100021,20011211,0,1,0,2,0.873239,0.517723,1,0,1,1,0,0,0
100021,20011216,1,0,0,1,0.547389,0.509063,0.9914,1,1,1,1,0,0
100021,20020210,0,1,0,2,0.855131,0.562948,0.984234,0,1,1,0,1,0
100021,20020222,0,0,1,3,0.952465,0.880546,1,0,1,1,0,0,0
100021,20020308,0,0,1,3,1,0.812287,0.990859,0,0,1,0,0,0
100021,20020327,0,0,1,3,0.697183,0.802048,0.975929,0,1,0,0,0,0
100021,20020405,0,0,1,3,0.873239,1,0.989865,0,0,1,0,0,0
100021,20020425,0,0,1,3,1,0.638335,0.997748,0,1,0,0,0,0
100021,20020503,0,0,1,3,1,0.634487,0.977131,0,1,0,0,0,0
100021,20020518,0,1,0,2,0.838028,0.641638,0.99453,0,1,1,0,0,0
100021,20020609,0,1,0,2,0.825956,0.528664,0.994088,0,1,0,0,1,0
100021,20020716,0,0,1,3,1,0.812287,0.98536,0,0,0,0,0,0
100021,20020730,0,0,1,3,0.873239,1,0.988176,0,0,0,0,0,0
100021,20020804,0,1,0,2,0.873239,0.539075,1,0,1,0,0,1,0
100021,20020811,1,0,0,1,0.612676,0.638024,0.976351,1,1,0,1,0,0
100021,20020908,0,1,0,2,1,0.527543,0.939189,0,1,0,0,1,0
100021,20020928,0,0,1,3,0.838028,1,1,0,0,1,0,0,0
100021,20021017,0,0,1,3,1,0.661839,0.972973,0,1,1,0,1,0
100021,20021020,0,0,1,3,1,0.660599,0.950826,0,0,0,0,1,0
100021,20021110,0,1,0,2,1,0.527576,0.966216,0,1,0,0,1,0
100021,20021130,0,0,1,3,0.831866,1,0.982432,0,0,0,0,0,0
100021,20021208,0,1,0,2,0.816901,0.524847,0.976351,0,1,0,0,1,0
100021,20030104,0,0,1,3,1,0.846416,1,0,0,0,0,0,0
100021,20030125,0,0,1,3,0.830634,0.980887,0.997401,0,0,0,0,0,0
100021,20030316,0,0,1,3,1,0.846416,0.975929,0,0,0,0,0,0
100021,20030401,0,0,1,3,0.824648,1,0.978829,0,0,0,0,0,0
100021,20030424,0,0,1,3,0.838028,0.812287,0.968295,0,0,0,0,0,0
100021,20030508,0,0,1,3,0.838028,0.671672,0.968243,0,1,0,0,0,0
100021,20030521,0,0,1,3,0.838028,1,0.964373,0,0,0,0,0,0
100021,20030604,0,1,0,2,0.838028,0.664763,0.992015,0,1,0,0,0,0
100021,20030618,0,0,1,3,1,0.80091,0.994144,0,0,0,0,0,0
100021,20030626,0,0,1,3,1,0.804892,0.96683,0,0,0,0,0,0
100021,20030709,0,0,1,3,1,0.812287,0.989865,0,0,0,0,0,0
100021,20030719,0,0,1,3,0.838028,1,0.984797,0,0,0,0,0,0
100021,20030803,0,0,1,3,0.838028,0.96843,0.987237,0,0,0,0,0,0
100021,20030810,0,0,1,3,0.816261,0.678642,0.964681,0,0,0,0,0,0
100021,20030824,0,0,1,3,0.984507,0.798422,0.966005,0,0,0,0,0,0
100021,20030828,0,0,1,3,0.979754,0.793857,0.966466,0,0,0,0,0,0
100072,20000204,0,0,1,3,0.908451,1,1,1,0,1,0,0,0
100072,20000316,0,0,1,3,0.908451,1,1,0,0,1,0,0,0
100072,20000629,0,0,1,3,1,0.846416,1,0,0,0,0,0,0
100072,20000801,1,0,0,1,0.521127,1,1,1,0,0,1,0,0
100072,20001201,0,0,1,3,0.873239,1,0.998649,1,0,1,0,0,0
100072,20001227,1,0,0,1,0.626761,0.880546,1,0,0,0,0,0,0
100072,20010202,0,0,1,3,0.873239,1,1,0,0,0,0,0,0
100072,20010605,0,1,0,2,0.873239,0.675768,1,0,1,1,0,0,0
100072,20010618,0,0,1,3,0.873239,1,1,0,0,1,0,0,0
100072,20010801,0,0,1,3,0.873239,0.573379,1,0,0,0,0,0,0
100072,20011116,0,1,0,2,0.873239,0.675768,1,0,1,0,0,0,0
100072,20020211,0,1,0,2,0.867478,0.675768,0.97869,0,1,1,0,0,0
100072,20020225,0,0,1,3,1,0.812287,0.995322,0,1,1,0,0,0
100072,20020316,0,1,0,2,1,0.604063,0.995355,0,1,1,0,1,0
100072,20020320,1,0,0,1,0.345343,0.812287,1,0,1,0,0,0,0
100072,20020521,0,0,1,3,0.838028,0.638046,0.988417,0,0,1,0,0,0
100072,20020625,0,1,0,2,1,0.672355,1,0,1,0,0,0,0
100072,20020708,0,1,0,2,1,0.675768,1,0,1,0,0,0,0
100072,20020807,0,1,0,2,0.868838,0.635909,1,0,1,0,0,0,0
100072,20020910,0,1,0,2,1,0.603967,1,0,1,0,0,0,0
100072,20021121,0,0,1,3,0.838028,1,0.975976,0,0,0,0,0,0
100072,20030107,0,1,0,2,1,0.569269,1,0,0,0,0,0,0
