PNL,age,family
100021,59,3
100072,53,5
100092,51,5
100118,48,5
100161,55,2
100176,44,4
100232,45,4
100235,44,4
100282,50,4
100287,58,3
100367,42,5
100423,47,4
100460,55,6
100541,61,5
100544,55,4
100568,67,6
100593,54,4
100634,44,4
100654,66,4
100705,47,6
100757,49,6
100787,60,4
100799,44,4
100816,63,4
100825,46,4
100851,54,4
100877,54,2
100921,61,5
100928,50,4
101054,52,3
101071,53,5
101136,47,4
101153,51,6
101196,52,4
101222,61,3
101292,53,5
101348,47,4
101360,50,5
101384,57,5
101436,51,3
101437,57,3
101447,52,5
101465,47,4
103030,40,5
103042,48,4
103070,61,5
103083,58,2
103101,59,2
103180,43,3
103191,50,3
103228,57,3
103269,50,4
103369,57,4
103432,54,4
103443,53,3
104019,46,4
104030,59,3
104048,56,2
104120,41,4
104129,56,3
104214,60,3
104289,55,4
104332,45,4
104369,67,2
104386,47,4
104399,53,4
104405,56,4
104417,39,4
104431,40,2
104449,69,2
104456,59,2
104464,52,3
104481,58,3
104522,52,4
104560,53,3
104618,58,2
104731,62,2
104748,43,2
104758,67,4
104801,68,2
104950,53,4
104986,55,5
105003,46,6
105014,53,3
106038,47,5
106062,43,5
106123,31,5
106162,51,6
106184,48,3
106193,48,5
106315,47,4
106327,55,3
106334,41,5
106365,47,6
106412,44,5
106429,51,4
106486,38,4
106523,52,5
106580,70,4
106654,49,4
106742,54,4
106797,55,4
106843,43,4
