StartDate	EndDate	Network/Property	GeoID	Geo	Query	Most-specific category ID	Most-specific category	Most-specific Brand	KG labels	Impressions	Clicks	Page CTR	Cost USD	CPC USD	RPMad	Queries	Matched Queries	Coverage	IPQ	Depth	qCTR	RPMq	RPMmq
2016-03-27	2016-03-27	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	29	1	4.17	0.11	0.1058	3.6496	180	24	13.33	0.16	1.21	0.56	0.5880	4.4100
2016-03-27	2016-03-27	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	7	0	0.00	0.00	0.0000	0.0000	21	6	28.57	0.33	1.17	0.00	0.0000	0.0000
2016-03-27	2016-03-27	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	32	1	5.56	0.09	0.0884	2.7626	151	18	11.92	0.21	1.78	0.66	0.5854	4.9112
2016-03-27	2016-03-27	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	2	0	0.00	0.00	0.0000	0.0000	16	2	12.50	0.13	1.00	0.00	0.0000	0.0000
2016-03-27	2016-03-27	Google search (excluding search partners)	20633	Japan / Gunma (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	41	3	12.50	0.19	0.0618	4.5229	162	24	14.81	0.25	1.71	1.85	1.1447	7.7266
2016-03-27	2016-03-27	Google search (excluding search partners)	20633	Japan / Gunma (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	5	0	0.00	0.00	0.0000	0.0000	25	5	20.00	0.20	1.00	0.00	0.0000	0.0000
2016-03-27	2016-03-27	Google search (excluding search partners)	20634	Japan / Saitama (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	105	8	12.31	1.85	0.2311	17.6091	443	65	14.67	0.24	1.62	1.81	4.1737	28.4455
2016-03-27	2016-03-27	Google search (excluding search partners)	20634	Japan / Saitama (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	13	0	0.00	0.00	0.0000	0.0000	69	10	14.49	0.19	1.30	0.00	0.0000	0.0000
2016-03-27	2016-03-27	Google search (excluding search partners)	20635	Japan / Chiba (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	97	3	4.55	0.06	0.0206	0.6379	359	66	18.38	0.27	1.47	0.84	0.1724	0.9376
2016-03-27	2016-03-27	Google search (excluding search partners)	20635	Japan / Chiba (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	19	0	0.00	0.00	0.0000	0.0000	53	13	24.53	0.36	1.46	0.00	0.0000	0.0000
2016-03-27	2016-03-27	Google search (excluding search partners)	20636	Japan / Tokyo (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	319	22	10.00	4.50	0.2044	14.0934	1911	220	11.51	0.17	1.45	1.15	2.3526	20.4354
2016-03-27	2016-03-27	Google search (excluding search partners)	20636	Japan / Tokyo (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	49	1	2.50	0.02	0.0177	0.3608	330	40	12.12	0.15	1.23	0.30	0.0536	0.4420
2016-03-27	2016-03-27	Google search (excluding search partners)	20637	Japan / Kanagawa (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	172	10	8.93	0.74	0.0743	4.3182	902	112	12.42	0.19	1.54	1.11	0.8234	6.6315
2016-03-27	2016-03-27	Google search (excluding search partners)	20637	Japan / Kanagawa (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	24	1	5.88	0.02	0.0177	0.7367	137	17	12.41	0.18	1.41	0.73	0.1291	1.0400
2016-03-28	2016-03-28	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	61	2	5.56	0.18	0.0882	2.8912	158	36	22.78	0.39	1.69	1.27	1.1162	4.8991
2016-03-28	2016-03-28	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	suzuki	10182	/Vehicles/Motor Vehicles/Motorcycles	Brand	"/m/040fvmd,/m/02ws0w"	8	0	0.00	0.00	0.0000	0.0000	29	7	24.14	0.28	1.14	0.00	0.0000	0.0000
2016-03-28	2016-03-28	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	スズキ	10960	/Vehicles/Motor Vehicles/Cars & Trucks/Vans & Minivans	Brand	"/m/02ws0w,/m/05q4nhj"	45	6	22.22	0.53	0.0883	11.7683	150	27	18.00	0.30	1.67	4.00	3.5305	19.6138
