date,week,time,duration,product,person,FC,FT,F1,F2,F3-,F3p,MC,MT,M1,M2,M3-,M3p,family,network,program,Genre
2017/4/1,金,2,15,T-Value ハイブリッド,1.1,0,0,0.4,1.7,0.9,2.6,0.4,1,0.2,1.3,2.4,1.3,2.5,EX,朝まで生テレビ！,Variety
2017/4/1,金,0,15,T-Value ハイブリッド,1.5,0,1.4,1.5,1.5,1.8,1,0,1.4,1,2.1,2,2.3,2.9,CX,ユアタイム〜あなたの時間〜,News
2017/3/31,金,22,30,C-HR,3.4,0.3,1.9,1.9,3.8,7.6,10.1,0.4,1,0.6,1.9,4.6,4.9,6.6,TBS,今夜解禁！ザ・因縁,Variety
2017/3/31,金,22,15,T-Value ハイブリッド,3.5,0.3,2.4,2.1,3.8,8,9.2,0.4,1.4,0.4,2.2,5.3,4.3,6.7,TBS,今夜解禁！ザ・因縁,Variety
2017/3/31,金,22,15,プリウス PHV,3.5,0.3,2.4,1.9,3.8,7.8,9.2,0.4,1.4,0.6,2.1,5.3,4.3,6.7,TBS,今夜解禁！ザ・因縁,Variety
2017/3/31,金,18,15,T-Value ハイブリッド,2,0.3,1.4,0.6,1.5,3.1,7.2,0.7,0.5,0,1,2.7,7.6,4,TBS,Ｎスタ,Informative
2017/3/31,金,16,15,T-Value ハイブリッド,2.2,1.4,1.9,2.9,2.9,3.4,3.3,1.1,1,1.2,1.2,2.6,2.3,4.5,NTV,ｎｅｗｓｅｖｅｒｙ．,News
2017/3/31,金,11,15,プリウス PHV,1.6,0,1,1,2.3,2.4,3.9,0.4,1,0.2,1.1,2,3.9,3.3,EX,ワイド！スクランブル第１部,Informative
2017/3/31,金,11,15,C-HR,1.7,0,1,1,2.2,2.4,4.2,0.4,1,0.2,1.2,2,4.3,3.3,EX,ワイド！スクランブル第１部,Informative
2017/3/31,金,11,15,企業,1.7,0,1.4,1,2.2,2.4,4.6,0.4,1,0.2,1.2,2,4.3,3.4,EX,ワイド！スクランブル第１部,Informative
2017/3/31,金,11,15,企業,1.7,0,1.4,1,2.2,2.4,4.2,0.4,0.5,0.2,1.3,2.2,3.9,3.4,EX,ワイド！スクランブル第１部,Informative
2017/3/31,金,11,15,T-Value ハイブリッド,1.7,0,1.4,1,2,2.7,4.2,0.4,0.5,0.4,1.1,2.6,3.9,3.6,EX,ワイド！スクランブル第１部,Informative
2017/3/31,金,11,15,プリウス PHV,1.6,0,1,1,2,2.4,4.2,0.4,0.5,0.4,1.1,2.2,3.6,3.3,EX,ワイド！スクランブル第１部,Informative
2017/3/31,金,10,15,C-HR,1.4,0,0.5,1,1.7,2.4,3.3,0,0,0.2,1.2,1.9,3.6,2.8,EX,ワイド！スクランブル第１部,Informative
2017/3/31,金,9,15,企業,2.3,0.3,0.5,1.2,1.9,3.3,5.9,1.5,0.5,1,1.5,3.2,6.6,4.4,EX,羽鳥慎一モーニングショー,Informative
2017/3/31,金,8,15,企業,2.4,0,0.5,1.2,1.9,3.6,6.9,1.1,0.5,0.8,1.5,3.9,6.6,4.7,EX,羽鳥慎一モーニングショー,Informative
