date,grp,query
2016/4/1,61,28125
2016/4/2,105.1,29739
2016/4/3,85.9,29608
2016/4/4,40.2,30253
2016/4/5,34.5,27662
2016/4/6,15.5,28290
2016/4/7,22,27817
2016/4/8,61.4,27007
2016/4/9,91.4,29954
2016/4/10,106.5,31861
2016/4/11,37.6,32286
2016/4/12,12.3,40776
2016/4/13,38.5,38831
2016/4/14,73.4,36068
2016/4/15,78.5,35463
2016/4/16,116.3,40423
2016/4/17,132,61239
2016/4/18,124.3,49358
2016/4/19,155.6,48005
2016/4/20,131.6,46828
2016/4/21,156,40716
2016/4/22,210.1,37056
2016/4/23,295.8,41490
2016/4/24,274,40973
2016/4/25,47.1,36671
2016/4/26,17.6,36314
2016/4/27,12.1,35585
2016/4/28,41,32943
2016/4/29,51.4,31876
2016/4/30,95.7,32333
2016/5/1,111.1,32320
2016/5/2,30.4,31179
2016/5/3,18.1,30892
2016/5/4,29.7,30708
2016/5/5,36.7,34610
2016/5/6,53.9,34418
2016/5/7,71.4,35920
2016/5/8,84.5,33920
2016/5/9,89.1,34063
2016/5/10,87.1,37201
2016/5/11,50.1,42189
2016/5/12,101.6,37080
2016/5/13,184.1,32410
2016/5/14,213.1,33285
2016/5/15,283.8,33938
2016/5/16,132.7,33833
2016/5/17,191.5,34355
2016/5/18,154.4,34327
2016/5/19,105,33644
2016/5/20,160,32451
2016/5/21,145.3,33934
2016/5/22,196.5,32262
2016/5/23,27.5,32194
2016/5/24,8.9,32080
2016/5/25,29.8,32229
2016/5/26,39.5,32113
2016/5/27,31.6,30629
2016/5/28,57,33672
2016/5/29,77.9,34830
2016/5/30,97.8,38187
2016/5/31,85.5,39716
2016/6/1,98.1,37183
2016/6/2,143.3,32703
2016/6/3,231.8,32467
2016/6/4,319.5,35141
2016/6/5,321.9,38949
2016/6/6,203.8,45779
2016/6/7,221.8,38191
2016/6/8,197.9,36895
2016/6/9,197.5,35082
2016/6/10,200,32257
2016/6/11,192.7,34474
2016/6/12,177.2,37157
2016/6/13,31.2,39054
2016/6/14,16,34540
2016/6/15,26.5,35926
2016/6/16,38.3,35129
2016/6/17,41.8,32637
2016/6/18,55.2,37020
2016/6/19,118.7,49939
2016/6/20,39.6,36501
2016/6/21,44.1,32585
2016/6/22,86.3,30900
2016/6/23,99,32220
2016/6/24,127.3,32829
2016/6/25,126.5,32246
2016/6/26,153.5,34799
2016/6/27,76.2,32954
2016/6/28,61.6,38139
2016/6/29,64.1,52891
2016/6/30,112.8,35624
2016/7/1,214.8,33188
2016/7/2,325.2,34431
2016/7/3,374.2,33494
2016/7/4,205.5,36177
2016/7/5,278.4,42467
2016/7/6,278.4,35631
2016/7/7,272.6,33084
2016/7/8,208.8,33794
2016/7/9,270.1,33667
2016/7/10,213.4,30762
2016/7/11,190,34352
2016/7/12,169.3,31741
2016/7/13,144.2,30282
2016/7/14,205.4,30191
2016/7/15,177.9,29704
2016/7/16,215,31488
2016/7/17,217.9,33095
2016/7/18,152.9,31540
2016/7/19,164.9,29130
2016/7/20,146.5,29499
2016/7/21,140.9,30505
2016/7/22,117.9,27580
2016/7/23,189.4,29431
2016/7/24,166.7,29317
2016/7/25,72.9,29353
2016/7/26,71.9,31228
2016/7/27,38.4,29122
2016/7/28,40.8,29190
2016/7/29,41.6,27929
2016/7/30,54.4,28618
2016/7/31,91.7,29228
2016/8/1,40.4,31174
2016/8/2,16.7,31946
2016/8/3,13.6,32342
2016/8/4,30,34894
2016/8/5,65.3,31497
2016/8/6,171.2,31265
2016/8/7,221.2,31987
2016/8/8,150.5,31553
2016/8/9,142.6,29404
2016/8/10,133.2,26473
2016/8/11,166.4,27282
2016/8/12,64.1,26995
2016/8/13,143.3,27762
2016/8/14,146.7,28760
2016/8/15,148.2,30966
2016/8/16,138.8,30427
2016/8/17,171.8,29780
2016/8/18,164.8,29960
2016/8/19,151.7,28786
2016/8/20,243.2,30146
2016/8/21,345,30129
2016/8/22,105.7,30486
2016/8/23,56.3,31005
2016/8/24,56.2,31556
2016/8/25,36.1,32876
2016/8/26,59.8,31788
2016/8/27,87.8,33811
2016/8/28,98.6,33191
2016/8/29,61,36516
2016/8/30,80,35054
2016/8/31,87.3,33472
2016/9/1,92.7,33054
2016/9/2,106.2,34589
2016/9/3,204.1,35877
2016/9/4,280,33887
2016/9/5,89.8,32843
2016/9/6,105,31773
2016/9/7,105.5,34172
2016/9/8,87.6,35463
2016/9/9,124.6,35761
2016/9/10,339.5,37736
2016/9/11,400.3,36735
2016/9/12,207.2,36237
2016/9/13,224.3,35345
2016/9/14,230.8,35046
2016/9/15,193.3,34522
2016/9/16,191.2,35393
2016/9/17,367.8,38719
2016/9/18,397.4,39408
2016/9/19,105.4,36142
2016/9/20,33.7,33746
2016/9/21,3.1,33788
2016/9/22,72.1,35145
