date の日,CX,EX,NTV,TBS,TX,query
4月1日2016年,0,3.5,9,17.6,4.8,28125
4月2日2016年,0,5.6,25.5,19.5,0,29739
4月3日2016年,17.8,7.7,25.3,0,8.6,29608
4月4日2016年,12.2,7.7,0,0,3.7,30253
4月5日2016年,6.8,10.7,0,0,1.9,27662
4月6日2016年,0,7,0,0,1.5,28290
4月7日2016年,0,0,5.3,2.9,3.9,27817
4月8日2016年,0,7.2,10.8,13.1,2.2,27007
4月9日2016年,0,2.8,15.7,23.5,0,29954
4月10日2016年,17.4,7.6,23.6,5.2,14.9,31861
4月11日2016年,11.2,3.2,0,3.9,4.4,32286
4月12日2016年,4.8,0,0,0,2,40776
4月13日2016年,1.3,12.3,0,0,3.5,38831
4月14日2016年,7.3,9.7,14.7,4.9,3.6,36068
4月15日2016年,8.3,11.3,9.8,10.1,5.7,35463
4月16日2016年,1.7,8.5,31.1,7.5,2.7,40423
4月17日2016年,25.7,12.2,24.6,5,13.9,61239
4月18日2016年,20.6,14.8,4.4,4.6,10.5,49358
4月19日2016年,10.9,15.1,25.6,8.7,11.5,48005
4月20日2016年,7.8,31.4,14.7,15.5,3.6,46828
4月21日2016年,7.8,35.9,23.9,14.9,9.5,40716
4月22日2016年,19.5,19.2,27.5,16.9,14.3,37056
4月23日2016年,11.7,32.4,54.3,51.8,11.9,41490
4月24日2016年,38.1,23,42.9,29.1,29.6,40973
4月25日2016年,12,11.7,4.3,0,4.6,36671
4月26日2016年,5.7,0,1.5,0.2,2.8,36314
4月27日2016年,0,1.9,0,0,4.4,35585
4月28日2016年,0,0,11.1,8.4,3.7,32943
4月29日2016年,0,7.4,7.6,9.5,4.3,31876
4月30日2016年,0,5.8,11.1,26.5,0,32333
5月1日2016年,17.1,8.4,23.3,11.9,10,32320
5月2日2016年,11.2,4.1,0,0,2.2,31179
5月3日2016年,6.1,0,0,0,4.2,30892
5月4日2016年,0,14.8,0,0,3.4,30708
5月5日2016年,0,0,12.3,7.6,1.2,34610
5月6日2016年,0,3.7,5.2,15.9,5.7,34418
