StartDate,Geo,Query,Impressions,Clicks,Queries
2016-03-27,Japan,トヨタ,3729,112,20749
2016-03-27,Japan,toyota,314,12,2906
2016-03-27,Japan / Ibaraki (Prefecture),トヨタ,82,4,392
2016-03-27,Japan / Ibaraki (Prefecture),toyota,7,0,57
2016-03-27,Japan / Tochigi (Prefecture),トヨタ,33,0,234
2016-03-27,Japan / Tochigi (Prefecture),toyota,5,1,36
2016-03-27,Japan / Gunma (Prefecture),トヨタ,44,1,270
2016-03-27,Japan / Gunma (Prefecture),toyota,2,1,42
2016-03-27,Japan / Saitama (Prefecture),トヨタ,140,2,746
2016-03-27,Japan / Saitama (Prefecture),toyota,10,0,118
2016-03-27,Japan / Chiba (Prefecture),トヨタ,170,4,675
2016-03-27,Japan / Chiba (Prefecture),toyota,12,1,101
2016-03-27,Japan / Tokyo (Prefecture),トヨタ,582,26,3803
2016-03-27,Japan / Tokyo (Prefecture),toyota,60,3,669
2016-03-27,Japan / Kanagawa (Prefecture),トヨタ,253,7,1525
2016-03-27,Japan / Kanagawa (Prefecture),toyota,41,1,294
2016-03-28,Japan,トヨタ,3055,76,19710
2016-03-28,Japan,toyota,312,8,2970
2016-03-28,Japan / Ibaraki (Prefecture),トヨタ,62,2,339
2016-03-28,Japan / Ibaraki (Prefecture),toyota,3,0,53
2016-03-28,Japan / Tochigi (Prefecture),トヨタ,64,1,265
2016-03-28,Japan / Tochigi (Prefecture),toyota,1,0,47
2016-03-28,Japan / Gunma (Prefecture),トヨタ,37,1,251
2016-03-28,Japan / Gunma (Prefecture),toyota,10,0,38
2016-03-28,Japan / Saitama (Prefecture),トヨタ,117,3,736
2016-03-28,Japan / Saitama (Prefecture),toyota,8,0,116
2016-03-28,Japan / Chiba (Prefecture),トヨタ,120,6,630
2016-03-28,Japan / Chiba (Prefecture),toyota,9,0,92
2016-03-28,Japan / Tokyo (Prefecture),トヨタ,465,10,3758
2016-03-28,Japan / Tokyo (Prefecture),toyota,40,2,691
2016-03-28,Japan / Kanagawa (Prefecture),トヨタ,156,6,1325
2016-03-28,Japan / Kanagawa (Prefecture),toyota,44,0,217
2016-03-29,Japan,トヨタ,3300,96,18671
2016-03-29,Japan,toyota,267,8,2771
2016-03-29,Japan / Ibaraki (Prefecture),トヨタ,74,1,320
2016-03-29,Japan / Ibaraki (Prefecture),toyota,3,1,42
2016-03-29,Japan / Tochigi (Prefecture),トヨタ,25,0,197
2016-03-29,Japan / Tochigi (Prefecture),toyota,3,0,57
2016-03-29,Japan / Gunma (Prefecture),トヨタ,54,3,227
2016-03-29,Japan / Gunma (Prefecture),toyota,5,0,36
2016-03-29,Japan / Saitama (Prefecture),トヨタ,125,6,612
2016-03-29,Japan / Saitama (Prefecture),toyota,17,0,104
2016-03-29,Japan / Chiba (Prefecture),トヨタ,99,2,609
2016-03-29,Japan / Chiba (Prefecture),toyota,10,0,89
2016-03-29,Japan / Tokyo (Prefecture),トヨタ,426,13,3441
2016-03-29,Japan / Tokyo (Prefecture),toyota,27,2,682
2016-03-29,Japan / Kanagawa (Prefecture),トヨタ,285,9,1371
